Bayer Name,Common Name,Apparent V Mag,Distance,Absolute V Mag,Color,Near/Bright
Zeta Tuc,,4.23,8.59,4.56,0.57,Both
Gliese 877,,10.38,8.59,10.71,1.49,Near
SCR J2049-4012,,13.53,9.51,13.64,1.76,Near
Chi1 Ori,,4.4,8.66,4.71,0.6,Both
Gliese 1207,,12.25,8.69,12.55,1.67,Near
HR 1614,,6.21,8.85,6.48,1.06,Both
Gliese 1256,,13.41,9.53,13.51,1.72,Near
SCR J0630-7643,,14.82,8.76,15.11,1.77,Near
Gliese 450,,9.8,8.76,10.09,1.5,Near
Gliese 318,,11.85,8.52,12.2,0.22,Near
Gliese 849,,10.37,8.8,10.65,1.5,Near
Gliese 465,,11.27,8.87,11.53,1.59,Near
HR 7722,,5.72,8.8,6,0.91,Both
Gliese 2066,,10.09,8.94,10.33,1.54,Near
Gamma Lep,,3.6,8.93,3.85,0.47,Both
FK/FL Aquarii,,9.08,8.9,9.33,1.52,Near
LHS 1126,,14.6,9.1,14.8,0.65,Near
Delta Eri,,3.54,9.04,3.76,0.92,Both
Groombridge 1830,,6.45,9.18,6.63,0.75,Both
Gliese 3801,,13.9,9.19,14.08,0.48,Near
Gliese 433,,9.81,9.07,10.02,1.51,Near
Beta Com,,4.25,9.13,4.45,0.59,Both
Kappa1 Cet,,4.85,9.14,5.05,0.67,Both
Gliese 849,,10.37,8.8,10.65,1.5,Near
Gliese 3855,,17.88,9.97,17.89,1.82,Near
R136a1,,12.77,49970,-5.72,0.01,Luminous
R136a2,,13.38,49970,-5.11,-0.29,Luminous
BAT99-98,,13.5,50600,-5.02,-0.1,Luminous
Eta Carinae A,,6.21,2300,-5.6,0.82,Bright
R136a3,,12.93,49970,-5.56,-0.1,Luminous
R136c,,12.86,49970,-5.63,0.09,Luminous
Melnick 42,,10.96,49970,-7.53,0.12,Luminous
VFTS 682,,16.08,50000,-2.41,0.58,Luminous
WR 42e,,14.53,6002.4,0.64,1.52,Luminous
R99,,11.52,24937.66,-5.46,0.25,Luminous
WR 24,,6.48,4170.14,-6.62,-0.05,Bright
HD 97950 B,,11.33,7600,-3.07,1.01,Luminous
Melnick 34 A,,13.1,8960.57,-1.66,0.25,Luminous
HD 97950 A1a,,11.8,7600,-2.6,1.14,Luminous
WR 25 A,,8.8,2099.52,-2.81,-0.25,Luminous
WR 93,,10.68,1867.06,-0.68,1.42,Luminous
HD 5980 A,,11.31,16447.37,-4.77,-0.18,Luminous
HD 97950 C1,,11.89,7600,-2.51,1.05,Luminous
Var 83,,16.03,900000,-8.74,0.06,Luminous
HD 296810,,10.3,81.76,5.74,0.68,Luminous
WR 89,,11.02,3728.56,-1.84,1.46,Luminous
WR 147S,,13.73,630,4.73,4.06,Luminous
Hen 3-519,,10.85,23923.44,-6.04,0.79,Luminous
Sher 18,,14.92,6900,0.73,0.47,Luminous
Sher 47,,12.67,6900,-1.52,1.04,Luminous
WR 87,,11.83,3623.19,-0.97,1.44,Luminous
WR 140 B,,6.85,1719.69,-4.33,0.4,Luminous
WR 148 A,,10.3,8280,-4.29,0.57,Luminous
HD 97950 A2,,12.53,7600,-1.87,0.98,Luminous
HM 1-6,,11.64,2182.93,-0.06,1.54,Luminous
NGC 346-W1,,12.57,64377.68,-6.47,-0.2,Luminous
HD 93129 Aa,,7.31,3093.1,-5.14,0.17,Luminous
AB8 A,,12.9,34602.08,-4.8,-0.15,Luminous
WR 66,,11.34,197.63,4.86,0.85,Luminous
S Doradus,,10.25,136986.3,-10.43,0.14,Luminous
HD 37974,,10.99,4545.45,-2.3,0.13,Luminous
WR 131,,12.08,11918.95,-3.3,0.97,Luminous
AB7 A,,13.02,61000,-5.91,-0.07,Luminous
HD 50064,,8.3,8305.65,-6.3,0.76,Luminous
R139 A,,11.94,49970,-6.55,0.1,Luminous
Trumpler 27-27,,13.31,2574,1.26,2.16,Luminous
LH 10-3061,,13.49,49970,-5,0.11,Luminous
BI 253,,13.67,49970,-4.82,-0.02,Luminous
WR 20a A,,13.5,8103.73,-1.04,1.97,Luminous
HD 93205 A,,7.75,2688.89,-4.4,0.05,Luminous
WR 158,,11.28,6439.15,-2.76,0.7,Luminous
HD 303308,,8.17,2456.4,-3.78,0.13,Luminous
HD 93403 A,,8.27,3200,-4.26,0.19,Luminous
HD 229059,,8.7,1660.85,-2.4,1.53,Luminous
HD 97950 E,,13.08,7600,-1.32,0.82,Luminous
HD 93250 A,,7.5,2754.06,-4.7,0.62,Luminous
WR 156,,11.01,4784.69,-2.39,1.17,Luminous
Zeta1 Scorpii,,4.79,1402.33,-5.94,0.52,Bright
WR 78,,6.51,1302.25,-4.06,0.28,Bright
Lambda Cephei,,5.05,617.32,-3.9,0.24,Bright
Alpha Camelopardalis,,4.29,1923.08,-7.13,0.05,Bright
P Cygni,,4.82,3125,-7.65,0.42,Bright
WR 79a,,5.77,2242.66,-5.98,0.15,Bright
Mu Normae,,4.94,1282.05,-5.6,0.05,Bright
Kappa Cassiopeiae,,4.16,1369.86,-6.52,0.14,Bright
Tau Canis Majoris,,4.89,917.43,-4.92,-0.15,Bright
Xi Persei,,4.06,381.68,-3.85,0.02,Bright
Theta Muscae A1,,5.53,2781.64,-6.69,-0.03,Bright
Omicron2 Canis Majoris,,3.02,847.46,-6.62,-0.08,Bright
Theta1 Orionis C1,,5.13,369.47,-2.71,0.02,Bright
Kappa Crucis,,5.94,2307.34,-5.88,0.18,Bright
Lambda Orionis A,,3.47,271.07,-3.7,0.01,Bright
Theta2 Orionis A,,6.39,451.41,-1.88,-0.09,Bright
Iota Orionis Aa1,,2.77,714.29,-6.5,-0.24,Bright
Upsilon Orionis,,4.63,877.19,-5.09,-0.27,Bright
Sigma Cygni,,4.24,884.96,-5.49,0.13,Bright
Zeta Persei,,2.85,230.41,-3.96,0.12,Bright
Mu Columbae,,5.18,465.64,-3.16,-0.28,Bright
Sigma Orionis Aa,,3.79,328.95,-3.8,-0.21,Bright
Epsilon Persei A,,2.89,195.69,-3.57,-0.18,Bright
Theta Carinae A,,2.76,139.66,-2.97,-0.22,Bright
Lambda Tauri A,,3.41,148.37,-2.45,-0.12,Bright
Rho Ophiuchi A,,4.63,110.74,-0.59,0.22,Bright
Delta Persei,,3.01,158.23,-2.99,-0.12,Bright
Eta Tauri A,,2.87,123.61,-2.59,-0.09,Bright
Omicron Velorum,,3.63,151.29,-2.27,-0.19,Bright
Psi Persei,,4.23,178.89,-2.03,-0.06,Bright
Gamma Canis Majoris,,4.12,135.5,-1.54,-0.12,Bright
Omicron Aquarii,,4.69,133.51,-0.94,-0.05,Bright
Phi Eridani,,3.57,47.13,0.2,-0.12,Bright
Nu Fornacis,,4.69,113.77,-0.59,-0.17,Bright
Eta Chamaeleontis,,5.45,99.56,0.46,-0.1,Bright
Epsilon Hydri,,4.1,46.55,0.76,-0.05,Bright
Tau1 Aquarii,,5.68,108.87,0.5,-0.03,Bright
Beta1 Tucanae,,4.29,41.41,1.2,-0.04,Bright
